latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
36.24333,27.96268,323.51,0.61,0.54,2023-07-23,0038,N20,VIIRS,n,2,300.39,37.9,N,0
36.24174,27.9691,348.61,0.61,0.54,2023-07-23,0038,N20,VIIRS,n,2,314.33,37.9,N,0
36.24016,27.97551,338.67,0.61,0.54,2023-07-23,0038,N20,VIIRS,n,2,320.66,45.33,N,0
36.23856,27.98199,316.07,0.61,0.54,2023-07-23,0038,N20,VIIRS,n,2,300.77,45.33,N,0
36.23537,27.97394,313.98,0.61,0.54,2023-07-23,0038,N20,VIIRS,n,2,300.77,45.33,N,0
36.22732,27.98549,355.83,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,304.76,14.5,N,0
36.2258,27.97072,327.52,0.61,0.54,2023-07-23,0038,N20,VIIRS,n,2,305.13,6.39,N,0
36.22413,27.97742,333.82,0.61,0.54,2023-07-23,0038,N20,VIIRS,n,2,302.27,6.39,N,0
36.2225,27.98397,340.15,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,302.5,14.5,N,0
36.2209,27.99041,337.8,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,303.42,14.5,N,0
36.22106,27.9689,341.49,0.61,0.54,2023-07-23,0038,N20,VIIRS,n,2,305.95,12.98,N,0
36.21936,27.97577,323.43,0.61,0.54,2023-07-23,0038,N20,VIIRS,n,2,303.6,12.98,N,0
36.21772,27.98236,326.01,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,302.59,9.02,N,0
36.21617,27.98858,348.41,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,304.12,9.02,N,0
36.21626,27.96738,340.04,0.61,0.54,2023-07-23,0038,N20,VIIRS,n,2,306.52,12.98,N,0
36.21456,27.97419,367,0.61,0.54,2023-07-23,0038,N20,VIIRS,h,2,307.73,12.98,N,0
36.21294,27.9807,333.91,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,304.97,9.02,N,0
36.21138,27.98694,341.86,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,303.2,9.02,N,0
36.20977,27.97261,349.54,0.61,0.54,2023-07-23,0038,N20,VIIRS,n,2,306.12,10.45,N,0
36.20814,27.97912,339.15,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,306.32,8.3,N,0
36.20655,27.98548,322.86,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,301.31,8.3,N,0
36.205,27.99169,338.47,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,302.96,7.21,N,0
36.21145,27.96584,313.18,0.61,0.54,2023-07-23,0038,N20,VIIRS,n,2,301.93,10.45,N,0
36.20336,27.9775,343.13,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,305.73,8.3,N,0
36.20176,27.9839,346.78,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,305.73,8.3,N,0
36.20021,27.99006,341.24,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,302.78,7.21,N,0
36.19873,27.99603,319.9,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,301.73,7.21,N,0
36.22975,27.98526,340.34,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,302.5,11.62,N,0
36.22494,27.98373,339.21,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,302.75,11.62,N,0
36.22337,27.99023,336.72,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,304.39,17.93,N,0
36.22813,27.97054,317.48,0.61,0.54,2023-07-23,0038,N20,VIIRS,n,2,302.53,3.12,N,0
36.2234,27.9687,334.68,0.61,0.54,2023-07-23,0038,N20,VIIRS,n,2,305.42,7.04,N,0
36.22176,27.97549,335.1,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,303.97,7.66,N,0
36.22014,27.98219,325.31,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,301.89,7.66,N,0
36.21861,27.98852,342.71,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,304.11,14.13,N,0
36.21864,27.96698,338.9,0.61,0.54,2023-07-23,0038,N20,VIIRS,n,2,303.28,7.04,N,0
36.21697,27.97387,351.83,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,307.54,7.66,N,0
36.21536,27.98052,330.27,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,304.07,7.66,N,0
36.21384,27.98678,339.53,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,302.39,14.13,N,0
36.21382,27.96553,326.42,0.61,0.54,2023-07-23,0038,N20,VIIRS,n,2,301.59,7.86,N,0
36.21217,27.97234,348.47,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,308.97,14.5,N,0
36.21058,27.97889,340.23,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,308.38,14.5,N,0
36.20753,27.99143,339.74,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,303.81,9.64,N,0
36.2058,27.97727,349.56,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,306.65,14.5,N,0
36.20271,27.98997,328.95,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,301.87,9.64,N,0
36.19945,27.98203,343.77,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,306.75,9.21,N,0
36.19794,27.98824,325.38,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,303.78,9.21,N,0
36.19648,27.99424,340.18,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,304.93,12.69,N,0
36.20768,27.94817,314.7,0.61,0.54,2023-07-23,0038,N20,VIIRS,n,2,300.52,2.6,N,0
36.20102,27.97557,317.08,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,303.56,3.4,N,0
36.1979,27.96714,324.86,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,303.04,3.4,N,0
36.19467,27.98038,348.23,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,306.65,9.21,N,0
36.19316,27.98656,336.61,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,307.17,9.21,N,0
36.19169,27.99258,355.26,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,307.25,12.69,N,0
36.18991,27.97864,323.49,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,303.26,13.11,N,0
36.18839,27.98489,354.81,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,315.82,13.11,N,0
36.18689,27.99102,340.5,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,306.25,8.8,N,0
36.19151,27.9721,312.74,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,301.91,2.74,N,0
36.18356,27.98341,335.68,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,303.74,13.11,N,0
36.18202,27.98973,320.94,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,303.22,8.8,N,0
36.17558,27.97361,310.84,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,300.83,1.12,N,0
36.16811,27.94066,339.45,0.61,0.54,2023-07-23,0038,N20,VIIRS,n,2,302.76,7.08,N,0
36.16348,27.93846,339.79,0.61,0.54,2023-07-23,0038,N20,VIIRS,n,2,303.44,7.08,N,0
36.16518,27.93154,315.03,0.61,0.54,2023-07-23,0038,N20,VIIRS,n,2,300.79,7.46,N,0
36.15882,27.93633,327.82,0.61,0.54,2023-07-23,0038,N20,VIIRS,n,2,302.49,5.64,N,0
36.14761,27.93978,334.59,0.61,0.54,2023-07-23,0038,N20,VIIRS,n,2,302.43,4.13,N,0
36.14599,27.94633,326.74,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,304.95,5.09,N,0
36.14119,27.94478,333.21,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,304.05,5.09,N,0
36.14282,27.9382,311.8,0.61,0.54,2023-07-23,0038,N20,VIIRS,n,2,300.86,4.13,N,0
36.13642,27.94309,339.62,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,302.39,11.38,N,0
36.1348,27.94967,320.95,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,303.01,11.38,N,0
36.13174,27.9411,337.12,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,300.74,11.38,N,0
36.13013,27.94757,338.17,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,310.83,11.38,N,0
36.12545,27.94549,348.9,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,305.14,33.58,N,0
