latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
36.24161,27.93253,354.65,0.57,0.52,2023-07-18,2323,N,VIIRS,n,2,304.36,24.71,N,0
36.23682,27.93172,314.39,0.57,0.52,2023-07-18,2323,N,VIIRS,n,2,299.14,6.77,N,0
36.2363,27.93825,314.17,0.57,0.52,2023-07-18,2323,N,VIIRS,n,2,299.19,6.77,N,0
36.23151,27.9374,352.54,0.57,0.52,2023-07-18,2323,N,VIIRS,n,2,303.73,6.77,N,0
36.23201,27.93107,309.54,0.57,0.52,2023-07-18,2323,N,VIIRS,n,2,298.73,6.77,N,0
36.23102,27.94364,309.31,0.57,0.52,2023-07-18,2323,N,VIIRS,n,2,299.07,4.26,N,0
36.22671,27.93671,331.73,0.57,0.52,2023-07-18,2323,N,VIIRS,n,2,299.14,8.76,N,0
36.22622,27.94296,317.66,0.57,0.52,2023-07-18,2323,N,VIIRS,n,2,298.64,5,N,0
36.2411,27.93268,332.51,0.64,0.72,2023-07-19,0104,N,VIIRS,n,2,298.36,5.54,N,0
36.24324,27.92566,311.76,0.64,0.72,2023-07-19,0104,N,VIIRS,n,2,296.82,5.54,N,0
36.2325,27.9371,349.9,0.64,0.72,2023-07-19,0104,N,VIIRS,n,2,300.05,8.19,N,0
36.23024,27.94449,321.53,0.64,0.72,2023-07-19,0104,N,VIIRS,n,2,297.31,8.19,N,0
36.23464,27.93013,312.69,0.64,0.72,2023-07-19,0104,N,VIIRS,n,2,297.07,5.54,N,0
36.22617,27.93412,367,0.64,0.72,2023-07-19,0104,N,VIIRS,h,2,300.25,15.44,N,0
36.2239,27.94153,340.68,0.64,0.72,2023-07-19,0104,N,VIIRS,n,2,297.98,15.44,N,0
36.22847,27.92662,311.54,0.64,0.72,2023-07-19,0104,N,VIIRS,n,2,297.88,14.63,N,0
36.22367,27.94278,344.88,0.39,0.44,2023-07-19,1044,N,VIIRS,l,2,316.72,6.43,D,0
36.22279,27.93859,345.43,0.39,0.44,2023-07-19,1044,N,VIIRS,n,2,319.6,17.22,D,0
36.22588,27.9332,367,0.39,0.44,2023-07-19,1044,N,VIIRS,h,2,328.85,17.22,D,0
36.22853,27.94581,348.1,0.39,0.44,2023-07-19,1044,N,VIIRS,l,2,320.59,6.43,D,0
36.22675,27.93732,352.99,0.39,0.44,2023-07-19,1044,N,VIIRS,n,2,322.6,17.22,D,0
36.22984,27.93194,367,0.39,0.44,2023-07-19,1044,N,VIIRS,h,2,323.05,25.06,D,0
36.22897,27.9278,367,0.39,0.44,2023-07-19,1044,N,VIIRS,h,2,323.63,25.42,D,0
36.2325,27.94463,351.1,0.39,0.44,2023-07-19,1044,N,VIIRS,n,2,318.32,13.9,D,0
36.23072,27.93617,346.52,0.39,0.44,2023-07-19,1044,N,VIIRS,n,2,318.62,25.06,D,0
36.23205,27.92236,367,0.39,0.44,2023-07-19,1044,N,VIIRS,h,2,318.97,25.42,D,0
36.23648,27.94351,348.33,0.39,0.44,2023-07-19,1044,N,VIIRS,l,2,320.35,13.9,D,0
36.2356,27.93932,344.67,0.39,0.44,2023-07-19,1044,N,VIIRS,l,2,318.32,13.9,D,0
36.23471,27.93504,347.58,0.39,0.44,2023-07-19,1044,N,VIIRS,n,2,320.92,25.06,D,0
36.23292,27.9265,349.45,0.39,0.44,2023-07-19,1044,N,VIIRS,n,2,320.44,25.42,D,0
36.2312,27.91828,353.54,0.39,0.44,2023-07-19,1044,N,VIIRS,n,2,320.39,12.15,D,0
36.23033,27.91416,347.94,0.39,0.44,2023-07-19,1044,N,VIIRS,n,2,317.41,12.15,D,0
36.2338,27.9307,367,0.39,0.44,2023-07-19,1044,N,VIIRS,l,2,325.06,25.06,D,0
36.23959,27.93821,347.55,0.39,0.44,2023-07-19,1044,N,VIIRS,l,2,321.29,78.97,D,0
36.23776,27.92946,351.33,0.39,0.44,2023-07-19,1044,N,VIIRS,n,2,319.14,12.29,D,0
36.23687,27.92521,352.47,0.39,0.44,2023-07-19,1044,N,VIIRS,n,2,319.18,6.06,D,0
36.236,27.92105,353.72,0.39,0.44,2023-07-19,1044,N,VIIRS,n,2,320.37,6.06,D,0
36.23514,27.91693,354.83,0.39,0.44,2023-07-19,1044,N,VIIRS,n,2,320.45,23.37,D,0
36.23428,27.91281,367,0.39,0.44,2023-07-19,1044,N,VIIRS,l,2,343.99,23.37,D,0
36.23822,27.91149,367,0.39,0.44,2023-07-19,1044,N,VIIRS,h,2,320.42,23.37,D,0
36.24444,27.94121,344.36,0.39,0.44,2023-07-19,1044,N,VIIRS,n,2,311.07,78.97,D,0
36.24266,27.9327,345.61,0.39,0.44,2023-07-19,1044,N,VIIRS,l,2,318.17,12.29,D,0
36.24174,27.92833,346.33,0.39,0.44,2023-07-19,1044,N,VIIRS,l,2,320.54,12.29,D,0
36.24085,27.92406,355.73,0.39,0.44,2023-07-19,1044,N,VIIRS,n,2,321.16,6.06,D,0
36.23996,27.9198,350.32,0.39,0.44,2023-07-19,1044,N,VIIRS,n,2,318.96,6.06,D,0
36.23909,27.91563,356.15,0.39,0.44,2023-07-19,1044,N,VIIRS,n,2,319.24,23.37,D,0
36.24356,27.937,367,0.39,0.44,2023-07-19,1044,N,VIIRS,l,2,353.66,78.97,D,0
36.24218,27.91022,367,0.39,0.44,2023-07-19,1044,N,VIIRS,h,2,320.09,12.38,D,0
36.24756,27.93595,339.14,0.39,0.44,2023-07-19,1044,N,VIIRS,n,2,309.78,7.77,D,0
36.24665,27.93163,343.62,0.39,0.44,2023-07-19,1044,N,VIIRS,n,2,318.59,8.58,D,0
36.24484,27.92293,345.01,0.39,0.44,2023-07-19,1044,N,VIIRS,n,2,319.66,9.79,D,0
36.24395,27.91866,354.14,0.39,0.44,2023-07-19,1044,N,VIIRS,n,2,321.41,9.79,D,0
36.24306,27.91441,354.84,0.39,0.44,2023-07-19,1044,N,VIIRS,n,2,320.01,12.38,D,0
36.24132,27.90609,354.33,0.39,0.44,2023-07-19,1044,N,VIIRS,n,2,327.46,47.29,D,0
36.2507,27.93079,367,0.39,0.44,2023-07-19,1044,N,VIIRS,h,2,320.59,8.58,D,0
36.24795,27.91761,367,0.39,0.44,2023-07-19,1044,N,VIIRS,h,2,325.54,9.79,D,0
36.24527,27.90477,367,0.39,0.44,2023-07-19,1044,N,VIIRS,h,2,326.05,47.29,D,0
36.24979,27.92641,356,0.39,0.44,2023-07-19,1044,N,VIIRS,n,2,319.66,8.58,D,0
36.24886,27.92199,352.66,0.39,0.44,2023-07-19,1044,N,VIIRS,n,2,320.35,9.79,D,0
36.24704,27.91325,352.97,0.39,0.44,2023-07-19,1044,N,VIIRS,n,2,320.31,12.38,D,0
36.24614,27.90895,355.17,0.39,0.44,2023-07-19,1044,N,VIIRS,n,2,319.01,12.38,D,0
36.25477,27.93006,367,0.39,0.44,2023-07-19,1044,N,VIIRS,h,2,358.39,82.61,D,0
36.25385,27.92563,367,0.39,0.44,2023-07-19,1044,N,VIIRS,h,2,328.86,82.61,D,0
36.2529,27.92112,367,0.39,0.44,2023-07-19,1044,N,VIIRS,h,2,320.21,21.64,D,0
36.25105,27.91224,367,0.39,0.44,2023-07-19,1044,N,VIIRS,h,2,323.61,21.59,D,0
36.25014,27.9079,367,0.39,0.44,2023-07-19,1044,N,VIIRS,h,2,313.96,21.59,D,0
36.24925,27.9036,367,0.39,0.44,2023-07-19,1044,N,VIIRS,h,2,319.07,30.02,D,0
36.25198,27.91666,356.38,0.39,0.44,2023-07-19,1044,N,VIIRS,n,2,325.61,21.64,D,0
36.24836,27.89932,355.99,0.39,0.44,2023-07-19,1044,N,VIIRS,n,2,321.63,30.02,D,0
36.24747,27.89507,336.47,0.39,0.44,2023-07-19,1044,N,VIIRS,l,2,309.11,45.49,D,0
36.25698,27.9204,367,0.39,0.44,2023-07-19,1044,N,VIIRS,h,2,321.45,21.64,D,0
36.25602,27.91582,367,0.39,0.44,2023-07-19,1044,N,VIIRS,h,2,326.12,21.64,D,0
36.25324,27.90248,367,0.39,0.44,2023-07-19,1044,N,VIIRS,h,2,310.41,30.02,D,0
36.25888,27.92955,351.14,0.39,0.44,2023-07-19,1044,N,VIIRS,n,2,314.56,82.61,D,0
36.25508,27.91131,353.85,0.39,0.44,2023-07-19,1044,N,VIIRS,n,2,319.91,21.59,D,0
36.25235,27.89819,355.06,0.39,0.44,2023-07-19,1044,N,VIIRS,n,2,322.08,30.02,D,0
36.25794,27.92503,367,0.39,0.44,2023-07-19,1044,N,VIIRS,l,2,327.38,82.61,D,0
36.26203,27.92443,367,0.39,0.44,2023-07-19,1044,N,VIIRS,h,2,347.49,87.52,D,0
36.2601,27.91514,367,0.39,0.44,2023-07-19,1044,N,VIIRS,h,2,322.27,40.68,D,0
36.263,27.92907,353.9,0.39,0.44,2023-07-19,1044,N,VIIRS,n,2,319.91,87.52,D,0
36.26106,27.91975,354.49,0.39,0.44,2023-07-19,1044,N,VIIRS,n,2,328.02,40.68,D,0
36.25914,27.91049,340.75,0.39,0.44,2023-07-19,1044,N,VIIRS,n,2,305.37,12.35,D,0
36.26609,27.92363,367,0.39,0.44,2023-07-19,1044,N,VIIRS,h,2,349.3,87.52,D,0
36.26704,27.92822,344.93,0.39,0.44,2023-07-19,1044,N,VIIRS,n,2,304.4,87.52,D,0
36.26414,27.91428,355.96,0.39,0.44,2023-07-19,1044,N,VIIRS,n,2,316.74,40.68,D,0
36.26511,27.91894,367,0.39,0.44,2023-07-19,1044,N,VIIRS,l,2,335.09,40.68,D,0
36.2701,27.92265,345.08,0.39,0.44,2023-07-19,1044,N,VIIRS,n,2,308.02,43.08,D,0
36.26913,27.91797,344.02,0.39,0.44,2023-07-19,1044,N,VIIRS,n,2,318.43,33.29,D,0
36.26813,27.91317,344.53,0.39,0.44,2023-07-19,1044,N,VIIRS,n,2,300.87,33.29,D,0
36.27514,27.91347,307.97,0.52,0.67,2023-07-19,2304,N,VIIRS,n,2,296.44,2.3,N,0
36.27184,27.9174,306.85,0.52,0.67,2023-07-19,2304,N,VIIRS,n,2,296.13,3.01,N,0
36.26023,27.89327,305.87,0.53,0.67,2023-07-19,2304,N,VIIRS,n,2,295.78,3.72,N,0
36.2597,27.90675,310.94,0.52,0.67,2023-07-19,2304,N,VIIRS,n,2,297.41,4.4,N,0
36.25348,27.90501,327.47,0.52,0.67,2023-07-19,2304,N,VIIRS,n,2,297.66,4.98,N,0
36.25393,27.89342,309.43,0.53,0.67,2023-07-19,2304,N,VIIRS,n,2,296.33,3.36,N,0
36.25371,27.89903,316.65,0.53,0.67,2023-07-19,2304,N,VIIRS,n,2,296.71,3.36,N,0
36.25208,27.94087,310.93,0.52,0.67,2023-07-19,2304,N,VIIRS,n,2,295.91,1.83,N,0
36.25187,27.94629,308.53,0.52,0.67,2023-07-19,2304,N,VIIRS,n,2,295.52,1.83,N,0
36.24118,27.89777,331.1,0.53,0.67,2023-07-19,2304,N,VIIRS,n,2,297.47,5.64,N,0
